Bits_Input,InputPower,Bits_Output,OutputPower
3.453125,9.99E-05,3.453125,0.001635865
3.46875,9.99E-05,3.46875,0.001739095
3.484375,9.99E-05,3.484375,0.00177894
3.5,9.99E-05,3.5,0.001723688
3.515625,9.99E-05,3.515625,0.001666917
3.53125,9.99E-05,3.53125,0.001580374
3.546875,9.99E-05,3.546875,0.001462219
3.5625,9.99E-05,3.5625,0.00138966
3.578125,9.99E-05,3.578125,0.001344369
3.59375,9.99E-05,3.59375,0.001349802
3.609375,9.99E-05,3.609375,0.001350838
3.625,9.99E-05,3.625,0.001277726
3.640625,9.99E-05,3.640625,0.001115888
3.65625,9.99E-05,3.65625,0.000952275
3.671875,9.99E-05,3.671875,0.000793469
3.6875,9.99E-05,3.6875,0.000652655
3.703125,9.99E-05,3.703125,0.000581886
3.71875,9.99E-05,3.71875,0.000550092
3.734375,9.99E-05,3.734375,0.000552996
3.75,9.99E-05,3.75,0.000583789
3.765625,9.99E-05,3.765625,0.000574448
3.78125,9.99E-05,3.78125,0.000577741
3.796875,9.99E-05,3.796875,0.000606258
3.8125,9.99E-05,3.8125,0.00061206
3.828125,9.99E-05,3.828125,0.000610182
3.84375,9.99E-05,3.84375,0.000589178
3.859375,9.99E-05,3.859375,0.000582715
3.875,9.99E-05,3.875,0.000553832
3.890625,9.99E-05,3.890625,0.000513094
3.90625,9.99E-05,3.90625,0.000459963
3.921875,9.99E-05,3.921875,0.000408477
3.9375,9.99E-05,3.9375,0.000391304
3.953125,9.99E-05,3.953125,0.000392071
3.96875,9.99E-05,3.96875,0.000387977
3.984375,9.99E-05,3.984375,0.000375514
4,9.99E-05,4,0.000375385
4.015625,9.99E-05,4.015625,0.00037841
4.03125,9.99E-05,4.03125,0.000403816
4.046875,9.99E-05,4.046875,0.000487976
4.0625,9.99E-05,4.0625,0.000628779
4.078125,9.99E-05,4.078125,0.000775298
4.09375,9.99E-05,4.09375,0.000968463
4.109375,9.99E-05,4.109375,0.001225923
4.125,9.99E-05,4.125,0.001502308
4.140625,9.99E-05,4.140625,0.001781473
4.15625,9.99E-05,4.15625,0.001992143
4.171875,9.99E-05,4.171875,0.0021034
4.1875,9.99E-05,4.1875,0.002154178
4.203125,9.99E-05,4.203125,0.002186154
4.21875,9.99E-05,4.21875,0.002269227
4.234375,9.99E-05,4.234375,0.002377276
4.25,9.99E-05,4.25,0.002441199
4.265625,9.99E-05,4.265625,0.002461233
4.28125,9.99E-05,4.28125,0.0023498
4.296875,9.99E-05,4.296875,0.002204433
4.3125,9.99E-05,4.3125,0.002059032
4.328125,9.99E-05,4.328125,0.001992509
4.34375,9.99E-05,4.34375,0.001891599
4.359375,9.99E-05,4.359375,0.001680296
4.375,9.99E-05,4.375,0.001409262
4.390625,9.99E-05,4.390625,0.001181305
4.40625,9.99E-05,4.40625,0.001014896
4.421875,9.99E-05,4.421875,0.000834649
