Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,FiberLength,
2.203125,9.99E-07,6.49E-08,,5.85E-08,60,
2.21875,9.99E-07,1.03E-07,,6.16E-08,60,
2.234375,9.99E-07,5.67E-08,,6.48E-08,60,
2.25,9.99E-07,7.42E-09,,6.51E-08,60,
2.265625,9.99E-07,6.72E-08,,6.71E-08,60,
2.28125,9.99E-07,1.51E-07,,6.79E-08,60,
2.296875,9.99E-07,1.25E-07,,6.90E-08,60,
2.3125,9.99E-07,4.96E-08,,6.83E-08,60,
2.328125,9.99E-07,7.29E-08,,6.89E-08,60,
2.34375,9.99E-07,9.55E-08,,6.86E-08,60,
2.359375,9.99E-07,6.01E-08,,6.85E-08,60,
2.375,9.99E-07,1.60E-08,,6.66E-08,60,
2.390625,9.99E-07,2.51E-08,,6.53E-08,60,
2.40625,9.99E-07,9.49E-08,,6.11E-08,60,
2.421875,9.99E-07,1.63E-07,,5.81E-08,60,
2.4375,9.99E-07,1.79E-07,,5.54E-08,60,
2.453125,9.99E-07,1.13E-07,,5.53E-08,60,
2.46875,9.99E-07,4.61E-08,,5.33E-08,60,
2.484375,9.99E-07,2.02E-09,,5.42E-08,60,
2.5,9.99E-07,5.03E-08,,5.43E-08,60,
2.515625,9.99E-07,1.64E-07,,5.58E-08,60,
2.53125,9.99E-07,2.19E-07,,5.82E-08,60,
2.546875,9.99E-07,1.54E-07,,6.11E-08,60,
2.5625,9.99E-07,5.35E-08,,6.44E-08,60,
2.578125,9.99E-07,3.06E-08,,6.71E-08,60,
2.59375,9.99E-07,1.58E-08,,6.84E-08,60,
2.609375,9.99E-07,7.44E-08,,7.00E-08,60,
2.625,9.99E-07,1.65E-07,,6.92E-08,60,
2.640625,9.99E-07,1.27E-07,,6.97E-08,60,
2.65625,9.99E-07,4.41E-08,,6.82E-08,60,
2.671875,9.99E-07,3.55E-08,,6.61E-08,60,
2.6875,9.99E-07,9.35E-08,,6.26E-08,60,
2.703125,9.99E-07,1.36E-07,,6.14E-08,60,
2.71875,9.99E-07,6.92E-08,,5.83E-08,60,
2.734375,9.99E-07,5.31E-09,,5.65E-08,60,
2.75,9.99E-07,5.99E-08,,5.41E-08,60,
2.765625,9.99E-07,1.49E-07,,5.41E-08,60,
2.78125,9.99E-07,1.77E-07,,5.38E-08,60,
2.796875,9.99E-07,1.06E-07,,5.66E-08,60,
2.8125,9.99E-07,4.00E-08,,5.93E-08,60,
2.828125,9.99E-07,1.51E-08,,6.25E-08,60,
2.84375,9.99E-07,4.80E-08,,6.44E-08,60,
2.859375,9.99E-07,8.24E-08,,6.50E-08,60,
2.875,9.99E-07,9.86E-08,,6.64E-08,60,
2.890625,9.99E-07,1.29E-07,,6.95E-08,60,
2.90625,9.99E-07,1.06E-07,,7.00E-08,60,
2.921875,9.99E-07,5.34E-08,,7.06E-08,60,
2.9375,9.99E-07,1.15E-08,,6.87E-08,60,
2.953125,9.99E-07,4.28E-08,,6.84E-08,60,
2.96875,9.99E-07,1.18E-07,,6.54E-08,60,
2.984375,9.99E-07,1.29E-07,,6.41E-08,60,
3,9.99E-07,7.62E-08,,6.15E-08,60,
3.015625,9.99E-07,5.13E-08,,6.02E-08,60,
3.03125,9.99E-07,7.58E-08,,5.75E-08,60,
3.046875,9.99E-07,5.66E-08,,5.81E-08,60,
3.0625,9.99E-07,1.11E-08,,5.68E-08,60,
3.078125,9.99E-07,7.68E-08,,5.97E-08,60,
3.09375,9.99E-07,1.44E-07,,6.16E-08,60,
3.109375,9.99E-07,9.70E-08,,6.48E-08,60,
3.125,9.99E-07,5.85E-08,,6.59E-08,60,
3.140625,9.99E-07,6.68E-08,,6.82E-08,60,
3.15625,9.99E-07,4.48E-08,,6.85E-08,60,
3.171875,9.99E-07,2.95E-08,,6.97E-08,60,
3.1875,9.99E-07,3.96E-08,,6.82E-08,60,
3.203125,9.99E-07,9.54E-08,,6.61E-08,60,
3.21875,9.99E-07,1.79E-07,,6.44E-08,60,
3.234375,9.99E-07,1.17E-07,,6.42E-08,60,
3.25,9.99E-07,3.77E-08,,6.09E-08,60,
3.265625,9.99E-07,1.80E-08,,5.80E-08,60,
3.28125,9.99E-07,2.77E-08,,5.58E-08,60,
3.296875,9.99E-07,1.09E-07,,5.56E-08,60,
3.3125,9.99E-07,1.77E-07,,5.54E-08,60,
3.328125,9.99E-07,1.45E-07,,5.65E-08,60,
3.34375,9.99E-07,5.60E-08,,5.76E-08,60,
3.359375,9.99E-07,1.47E-08,,6.04E-08,60,
3.375,9.99E-07,3.99E-08,,6.19E-08,60,
3.390625,9.99E-07,9.70E-08,,6.48E-08,60,
3.40625,9.99E-07,1.25E-07,,6.48E-08,60,
3.421875,9.99E-07,1.17E-07,,6.32E-08,60,
3.4375,9.99E-07,5.86E-08,,6.14E-08,60,
3.453125,9.99E-07,2.81E-08,,6.10E-08,60,
3.46875,9.99E-07,5.79E-08,,5.89E-08,60,
3.484375,9.99E-07,1.10E-07,,5.63E-08,60,
