Bits_Input,InputPower,Bits_Output,OutputPower
5.484375,9.99E-04,5.484375,0.006143346
5.5,9.99E-04,5.5,0.009170513
5.515625,9.99E-04,5.515625,0.013135326
5.53125,9.99E-04,5.53125,0.017148356
5.546875,9.99E-04,5.546875,0.019246143
5.5625,9.99E-04,5.5625,0.018751124
5.578125,9.99E-04,5.578125,0.015746506
5.59375,9.99E-04,5.59375,0.010606509
5.609375,9.99E-04,5.609375,0.005538716
5.625,9.99E-04,5.625,0.00215402
5.640625,9.99E-04,5.640625,0.000601366
5.65625,9.99E-04,5.65625,0.000145866
5.671875,9.99E-04,5.671875,0.000137702
5.6875,9.99E-04,5.6875,0.000126805
5.703125,9.99E-04,5.703125,2.39E-06
5.71875,9.99E-04,5.71875,0.000344612
5.734375,9.99E-04,5.734375,0.002131622
5.75,9.99E-04,5.75,0.005661393
5.765625,9.99E-04,5.765625,0.010418778
5.78125,9.99E-04,5.78125,0.015088635
5.796875,9.99E-04,5.796875,0.017981814
5.8125,9.99E-04,5.8125,0.017567443
5.828125,9.99E-04,5.828125,0.014199002
5.84375,9.99E-04,5.84375,0.009451192
5.859375,9.99E-04,5.859375,0.004564706
5.875,9.99E-04,5.875,0.001413155
5.890625,9.99E-04,5.890625,0.000677623
5.90625,9.99E-04,5.90625,0.001804308
5.921875,9.99E-04,5.921875,0.003707661
5.9375,9.99E-04,5.9375,0.00536342
5.953125,9.99E-04,5.953125,0.005982941
5.96875,9.99E-04,5.96875,0.005953695
5.984375,9.99E-04,5.984375,0.005602301
6,9.99E-04,6,0.005104067
6.015625,9.99E-04,6.015625,0.005311178
6.03125,9.99E-04,6.03125,0.006341009
6.046875,9.99E-04,6.046875,0.007365913
6.0625,9.99E-04,6.0625,0.007525048
6.078125,9.99E-04,6.078125,0.006648544
6.09375,9.99E-04,6.09375,0.004823925
6.109375,9.99E-04,6.109375,0.003263799
6.125,9.99E-04,6.125,0.002367998
6.140625,9.99E-04,6.140625,0.002469455
6.15625,9.99E-04,6.15625,0.003638014
6.171875,9.99E-04,6.171875,0.006212426
6.1875,9.99E-04,6.1875,0.009845844
6.203125,9.99E-04,6.203125,0.013031031
6.21875,9.99E-04,6.21875,0.014337572
6.234375,9.99E-04,6.234375,0.01326694
6.25,9.99E-04,6.25,0.009601211
6.265625,9.99E-04,6.265625,0.00491146
6.28125,9.99E-04,6.28125,0.00123428
6.296875,9.99E-04,6.296875,0.000125974
6.3125,9.99E-04,6.3125,0.001786578
6.328125,9.99E-04,6.328125,0.005482724
6.34375,9.99E-04,6.34375,0.010212331
6.359375,9.99E-04,6.359375,0.014780699
6.375,9.99E-04,6.375,1.72E-02
6.390625,9.99E-04,6.390625,1.66E-02
6.40625,9.99E-04,6.40625,1.36E-02
6.421875,9.99E-04,6.421875,1.01E-02
6.4375,9.99E-04,6.4375,6.71E-03
6.453125,9.99E-04,6.453125,4.64E-03
6.46875,9.99E-04,6.46875,4.04E-03
6.484375,9.99E-04,6.484375,4.07E-03
6.5,9.99E-04,6.5,0.003925302
6.515625,9.99E-04,6.515625,0.003283158
6.53125,9.99E-04,6.53125,0.002423906
6.546875,9.99E-04,6.546875,0.001551902
