InputPower,OutputPowerWithoutDelay,Previous1OutputPower,Previous2OutputPower,Previous3OutputPower,,
9.99E-06,7.31E-07,1.57E-08,4.51E-07,1.68E-06,,
9.99E-06,2.57E-06,7.31E-07,1.57E-08,4.51E-07,,
9.99E-06,2.71E-06,2.57E-06,7.31E-07,1.57E-08,,
9.99E-06,1.78E-06,2.71E-06,2.57E-06,7.31E-07,,
9.99E-06,7.62E-08,1.78E-06,2.71E-06,2.57E-06,,
9.99E-06,1.41E-06,7.62E-08,1.78E-06,2.71E-06,,
9.99E-06,3.44E-06,1.41E-06,7.62E-08,1.78E-06,,
9.99E-06,4.16E-06,3.44E-06,1.41E-06,7.62E-08,,
9.99E-06,2.06E-06,4.16E-06,3.44E-06,1.41E-06,,
9.99E-06,7.25E-07,2.06E-06,4.16E-06,3.44E-06,,
9.99E-06,3.28E-07,7.25E-07,2.06E-06,4.16E-06,,
