Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,,
2.484375,9.99E-07,1.40E-05,,1.14E-08,,
2.5,9.99E-07,1.27E-05,,1.07E-08,,
2.515625,9.99E-07,1.18E-05,,1.20E-08,,
2.53125,9.99E-07,1.09E-05,,1.18E-08,,
2.546875,9.99E-07,1.06E-05,,9.74E-09,,
2.5625,9.99E-07,1.11E-05,,1.27E-08,,
2.578125,9.99E-07,1.17E-05,,9.49E-09,,
2.59375,9.99E-07,1.23E-05,,9.52E-09,,
2.609375,9.99E-07,1.35E-05,,1.10E-08,,
2.625,9.99E-07,1.43E-05,,9.42E-09,,
2.640625,9.99E-07,1.44E-05,,8.42E-09,,
2.65625,9.99E-07,1.43E-05,,1.05E-08,,
2.671875,9.99E-07,1.39E-05,,9.25E-09,,
2.6875,9.99E-07,1.33E-05,,6.79E-09,,
2.703125,9.99E-07,1.30E-05,,1.11E-08,,
2.71875,9.99E-07,1.32E-05,,8.13E-09,,
2.734375,9.99E-07,1.34E-05,,6.32E-09,,
2.75,9.99E-07,1.26E-05,,1.26E-08,,
2.765625,9.99E-07,1.16E-05,,6.79E-09,,
2.78125,9.99E-07,1.16E-05,,7.40E-09,,
2.796875,9.99E-07,1.17E-05,,1.24E-08,,
2.8125,9.99E-07,1.20E-05,,7.07E-09,,
2.828125,9.99E-07,1.19E-05,,1.01E-08,,
2.84375,9.99E-07,1.18E-05,,1.12E-08,,
2.859375,9.99E-07,1.17E-05,,8.87E-09,,
2.875,9.99E-07,1.14E-05,,1.01E-08,,
2.890625,9.99E-07,1.08E-05,,1.15E-08,,
2.90625,9.99E-07,9.71E-06,,1.03E-08,,
2.921875,9.99E-07,8.49E-06,,9.48E-09,,
2.9375,9.99E-07,7.50E-06,,1.32E-08,,
2.953125,9.99E-07,7.06E-06,,1.03E-08,,
2.96875,9.99E-07,6.76E-06,,1.02E-08,,
2.984375,9.99E-07,6.35E-06,,1.24E-08,,
3,9.99E-07,6.20E-06,,9.99E-09,,
3.015625,9.99E-07,6.53E-06,,1.00E-08,,
3.03125,9.99E-07,7.20E-06,,1.17E-08,,
3.046875,9.99E-07,7.79E-06,,1.00E-08,,
3.0625,9.99E-07,7.93E-06,,9.12E-09,,
3.078125,9.99E-07,7.80E-06,,1.08E-08,,
3.09375,9.99E-07,7.80E-06,,8.42E-09,,
3.109375,9.99E-07,8.30E-06,,9.03E-09,,
3.125,9.99E-07,9.20E-06,,9.06E-09,,
3.140625,9.99E-07,1.02E-05,,8.56E-09,,
3.15625,9.99E-07,1.10E-05,,7.52E-09,,
3.171875,9.99E-07,1.06E-05,,9.64E-09,,
3.1875,9.99E-07,9.35E-06,,6.83E-09,,
3.203125,9.99E-07,8.08E-06,,9.22E-09,,
3.21875,9.99E-07,6.95E-06,,7.46E-09,,
3.234375,9.99E-07,5.93E-06,,8.36E-09,,
3.25,9.99E-07,5.23E-06,,9.02E-09,,
3.265625,9.99E-07,4.96E-06,,8.32E-09,,
3.28125,9.99E-07,4.79E-06,,9.36E-09,,
3.296875,9.99E-07,4.74E-06,,9.97E-09,,
3.3125,9.99E-07,4.69E-06,,9.06E-09,,
3.328125,9.99E-07,4.68E-06,,9.75E-09,,
3.34375,9.99E-07,4.44E-06,,1.17E-08,,
3.359375,9.99E-07,4.07E-06,,9.05E-09,,
3.375,9.99E-07,3.53E-06,,1.11E-08,,
3.390625,9.99E-07,2.81E-06,,1.06E-08,,
3.40625,9.99E-07,2.36E-06,,9.36E-09,,
3.421875,9.99E-07,2.12E-06,,9.98E-09,,
3.4375,9.99E-07,2.29E-06,,1.03E-08,,
