InputPower,OutputPowerWithoutDelay,FiberLength,PreviousOutputPowerWithoutDelay
9.99E-07,6.47E-07,10,6.05E-07
9.99E-07,6.06E-07,10,6.47E-07
9.99E-07,6.37E-07,10,6.06E-07
9.99E-07,6.14E-07,10,6.37E-07
9.99E-07,6.32E-07,10,6.14E-07
9.99E-07,6.43E-07,10,6.32E-07
9.99E-07,6.36E-07,10,6.43E-07
9.99E-07,6.56E-07,10,6.36E-07
9.99E-07,6.55E-07,10,6.56E-07
9.99E-07,6.78E-07,10,6.55E-07
9.99E-07,6.67E-07,10,6.78E-07
9.99E-07,7.10E-07,10,6.67E-07
9.99E-07,6.71E-07,10,7.10E-07
9.99E-07,6.95E-07,10,6.71E-07
9.99E-07,6.62E-07,10,6.95E-07
9.99E-07,6.94E-07,10,6.62E-07
9.99E-07,6.59E-07,10,6.94E-07
9.99E-07,6.78E-07,10,6.59E-07
9.99E-07,6.28E-07,10,6.78E-07
9.99E-07,6.56E-07,10,6.28E-07
9.99E-07,6.29E-07,10,6.56E-07
9.99E-07,6.46E-07,10,6.29E-07
9.99E-07,6.27E-07,10,6.46E-07
9.99E-07,6.39E-07,10,6.27E-07
9.99E-07,6.34E-07,10,6.39E-07
9.99E-07,6.64E-07,10,6.34E-07
9.99E-07,6.49E-07,10,6.64E-07
9.99E-07,6.57E-07,10,6.49E-07
9.99E-07,6.42E-07,10,6.57E-07
9.99E-07,6.49E-07,10,6.42E-07
9.99E-07,6.32E-07,10,6.49E-07
9.99E-07,6.52E-07,10,6.32E-07
9.99E-07,6.26E-07,10,6.52E-07
9.99E-07,6.32E-07,10,6.26E-07
9.99E-07,6.06E-07,10,6.32E-07
9.99E-07,6.14E-07,10,6.06E-07
9.99E-07,5.98E-07,10,6.14E-07
9.99E-07,6.15E-07,10,5.98E-07
9.99E-07,6.17E-07,10,6.15E-07
9.99E-07,6.25E-07,10,6.17E-07
9.99E-07,6.19E-07,10,6.25E-07
9.99E-07,6.40E-07,10,6.19E-07
9.99E-07,6.24E-07,10,6.40E-07
9.99E-07,6.20E-07,10,6.24E-07
9.99E-07,6.14E-07,10,6.20E-07
9.99E-07,6.19E-07,10,6.14E-07
9.99E-07,6.15E-07,10,6.19E-07
9.99E-07,6.24E-07,10,6.15E-07
9.99E-07,6.20E-07,10,6.24E-07
9.99E-07,6.26E-07,10,6.20E-07
9.99E-07,6.21E-07,10,6.26E-07
9.99E-07,6.25E-07,10,6.21E-07
9.99E-07,6.18E-07,10,6.25E-07
9.99E-07,6.29E-07,10,6.18E-07
9.99E-07,6.22E-07,10,6.29E-07
9.99E-07,6.40E-07,10,6.22E-07
9.99E-07,6.35E-07,10,6.40E-07
9.99E-07,6.30E-07,10,6.35E-07
9.99E-07,6.21E-07,10,6.30E-07
9.99E-07,6.14E-07,10,6.21E-07
9.99E-07,6.31E-07,10,6.14E-07
9.99E-07,6.46E-07,10,6.31E-07
9.99E-07,6.56E-07,10,6.46E-07
9.99E-07,6.49E-07,10,6.56E-07
9.99E-07,6.48E-07,10,6.49E-07
9.99E-07,6.44E-07,10,6.48E-07
9.99E-07,6.33E-07,10,6.44E-07
9.99E-07,6.48E-07,10,6.33E-07
9.99E-07,6.26E-07,10,6.48E-07
9.99E-07,6.13E-07,10,6.26E-07
9.99E-07,6.12E-07,10,6.13E-07
9.99E-07,6.31E-07,10,6.12E-07
9.99E-07,6.45E-07,10,6.31E-07
9.99E-07,6.40E-07,10,6.45E-07
9.99E-07,6.35E-07,10,6.40E-07
9.99E-07,6.46E-07,10,6.35E-07
9.99E-07,6.33E-07,10,6.46E-07
9.99E-07,6.38E-07,10,6.33E-07
9.99E-07,6.32E-07,10,6.38E-07
9.99E-07,6.35E-07,10,6.32E-07
9.99E-07,6.19E-07,10,6.35E-07
9.99E-07,6.16E-07,10,6.19E-07
9.99E-07,6.20E-07,10,6.16E-07
9.99E-07,6.21E-07,10,6.20E-07
9.99E-07,6.32E-07,10,6.21E-07
9.99E-07,6.30E-07,10,6.32E-07
9.99E-07,6.33E-07,10,6.30E-07
9.99E-07,6.33E-07,10,6.33E-07
