Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,
2.46875,9.99E-07,3.84E-07,,3.77E-07,
2.484375,9.99E-07,3.79E-07,,3.99E-07,
2.5,9.99E-07,4.15E-07,,4.19E-07,
2.515625,9.99E-07,3.93E-07,,4.30E-07,
2.53125,9.99E-07,4.01E-07,,4.20E-07,
2.546875,9.99E-07,4.26E-07,,3.94E-07,
2.5625,9.99E-07,3.90E-07,,3.58E-07,
2.578125,9.99E-07,3.97E-07,,3.57E-07,
2.59375,9.99E-07,4.16E-07,,3.81E-07,
2.609375,9.99E-07,3.92E-07,,4.05E-07,
2.625,9.99E-07,3.96E-07,,4.05E-07,
2.640625,9.99E-07,4.05E-07,,3.83E-07,
2.65625,9.99E-07,3.81E-07,,3.65E-07,
2.671875,9.99E-07,3.95E-07,,3.63E-07,
2.6875,9.99E-07,4.03E-07,,3.84E-07,
2.703125,9.99E-07,3.77E-07,,4.18E-07,
2.71875,9.99E-07,3.86E-07,,4.32E-07,
2.734375,9.99E-07,3.97E-07,,4.08E-07,
2.75,9.99E-07,3.76E-07,,3.89E-07,
2.765625,9.99E-07,3.95E-07,,3.79E-07,
2.78125,9.99E-07,4.11E-07,,3.85E-07,
2.796875,9.99E-07,3.86E-07,,4.03E-07,
2.8125,9.99E-07,4.04E-07,,4.21E-07,
2.828125,9.99E-07,4.20E-07,,4.06E-07,
2.84375,9.99E-07,3.94E-07,,3.86E-07,
2.859375,9.99E-07,4.03E-07,,3.80E-07,
2.875,9.99E-07,4.26E-07,,3.95E-07,
2.890625,9.99E-07,3.90E-07,,4.24E-07,
2.90625,9.99E-07,3.90E-07,,4.34E-07,
2.921875,9.99E-07,4.06E-07,,4.20E-07,
2.9375,9.99E-07,3.81E-07,,3.94E-07,
2.953125,9.99E-07,3.84E-07,,3.92E-07,
2.96875,9.99E-07,4.11E-07,,4.14E-07,
2.984375,9.99E-07,3.90E-07,,4.36E-07,
3,9.99E-07,3.85E-07,,4.43E-07,
3.015625,9.99E-07,4.08E-07,,4.13E-07,
3.03125,9.99E-07,3.98E-07,,3.84E-07,
3.046875,9.99E-07,3.82E-07,,3.78E-07,
3.0625,9.99E-07,4.09E-07,,4.05E-07,
3.078125,9.99E-07,4.21E-07,,4.24E-07,
3.09375,9.99E-07,3.95E-07,,4.14E-07,
3.109375,9.99E-07,4.19E-07,,3.83E-07,
3.125,9.99E-07,4.22E-07,,3.72E-07,
3.140625,9.99E-07,3.98E-07,,3.92E-07,
3.15625,9.99E-07,4.17E-07,,4.09E-07,
3.171875,9.99E-07,4.42E-07,,4.09E-07,
3.1875,9.99E-07,4.11E-07,,3.84E-07,
3.203125,9.99E-07,4.07E-07,,3.61E-07,
3.21875,9.99E-07,4.29E-07,,3.67E-07,
3.234375,9.99E-07,4.06E-07,,3.92E-07,
3.25,9.99E-07,3.95E-07,,4.09E-07,
3.265625,9.99E-07,4.16E-07,,3.91E-07,
3.28125,9.99E-07,4.11E-07,,3.62E-07,
3.296875,9.99E-07,3.85E-07,,3.64E-07,
3.3125,9.99E-07,3.93E-07,,3.91E-07,
3.328125,9.99E-07,4.06E-07,,4.09E-07,
3.34375,9.99E-07,3.82E-07,,3.89E-07,
3.359375,9.99E-07,3.85E-07,,3.72E-07,
3.375,9.99E-07,4.12E-07,,3.66E-07,
3.390625,9.99E-07,3.87E-07,,3.87E-07,
3.40625,9.99E-07,3.59E-07,,4.08E-07,
3.421875,9.99E-07,3.79E-07,,4.02E-07,
3.4375,9.99E-07,3.88E-07,,3.72E-07,
3.453125,9.99E-07,3.71E-07,,3.72E-07,
3.46875,9.99E-07,3.84E-07,,4.00E-07,
3.484375,9.99E-07,4.08E-07,,4.24E-07,
3.5,9.99E-07,3.94E-07,,4.07E-07,
3.515625,9.99E-07,3.75E-07,,3.80E-07,
3.53125,9.99E-07,3.98E-07,,3.81E-07,
3.546875,9.99E-07,3.94E-07,,4.06E-07,
3.5625,9.99E-07,3.74E-07,,4.10E-07,
3.578125,9.99E-07,3.92E-07,,4.02E-07,
3.59375,9.99E-07,4.13E-07,,3.79E-07,
