Bits,InputPower,OutputPower
6.34375,9.99E-07,9.74E-08
6.359375,9.99E-07,1.08E-07
6.375,9.99E-07,1.05E-07
6.390625,9.99E-07,9.59E-08
6.40625,9.99E-07,1.16E-07
6.421875,9.99E-07,8.28E-08
6.4375,9.99E-07,1.11E-07
6.453125,9.99E-07,9.12E-08
6.46875,9.99E-07,9.65E-08
6.484375,9.99E-07,1.11E-07
6.5,9.99E-07,8.35E-08
6.515625,9.99E-07,1.14E-07
6.53125,9.99E-07,9.08E-08
6.546875,9.99E-07,9.78E-08
6.5625,9.99E-07,1.03E-07
6.578125,9.99E-07,8.83E-08
6.59375,9.99E-07,1.03E-07
6.609375,9.99E-07,8.94E-08
6.625,9.99E-07,9.79E-08
6.640625,9.99E-07,8.56E-08
6.65625,9.99E-07,9.94E-08
6.671875,9.99E-07,8.23E-08
6.6875,9.99E-07,9.08E-08
6.703125,9.99E-07,9.24E-08
6.71875,9.99E-07,8.21E-08
6.734375,9.99E-07,9.56E-08
6.75,9.99E-07,8.99E-08
6.765625,9.99E-07,9.15E-08
6.78125,9.99E-07,9.94E-08
6.796875,9.99E-07,9.18E-08
6.8125,9.99E-07,9.65E-08
6.828125,9.99E-07,9.29E-08
6.84375,9.99E-07,1.04E-07
6.859375,9.99E-07,8.88E-08
6.875,9.99E-07,1.09E-07
6.890625,9.99E-07,9.36E-08
6.90625,9.99E-07,1.00E-07
6.921875,9.99E-07,1.02E-07
6.9375,9.99E-07,9.89E-08
6.953125,9.99E-07,1.00E-07
6.96875,9.99E-07,9.76E-08
6.984375,9.99E-07,1.01E-07
7,9.99E-07,9.23E-08
7.015625,9.99E-07,9.60E-08
7.03125,9.99E-07,9.99E-08
7.046875,9.99E-07,8.06E-08
7.0625,9.99E-07,1.00E-07
7.078125,9.99E-07,8.43E-08
7.09375,9.99E-07,9.06E-08
7.109375,9.99E-07,9.31E-08
7.125,9.99E-07,8.86E-08
7.140625,9.99E-07,9.71E-08
7.15625,9.99E-07,9.62E-08
7.171875,9.99E-07,9.04E-08
7.1875,9.99E-07,9.88E-08
7.203125,9.99E-07,8.19E-08
7.21875,9.99E-07,1.00E-07
7.234375,9.99E-07,8.49E-08
7.25,9.99E-07,8.83E-08
7.265625,9.99E-07,9.73E-08
7.28125,9.99E-07,8.16E-08
7.296875,9.99E-07,9.35E-08
7.3125,9.99E-07,8.94E-08
